fold,générateur,ratio,N,model,RMSE
0,CTGAN,5,7,RF,6.268649575121437
0,CTGAN,5,7,XGBoost,6.991700790782685
0,CTGAN,5,7,CatBoost,6.254522425823176
0,CTGAN,5,7,LightGBM,6.327917348585438
0,CTGAN,5,8,RF,6.148721569772951
0,CTGAN,5,8,XGBoost,7.009703713933426
0,CTGAN,5,8,CatBoost,5.7199862039518745
0,CTGAN,5,8,LightGBM,5.922923580077754
0,CTGAN,5,9,RF,6.19100580418058
0,CTGAN,5,9,XGBoost,7.08856984965464
0,CTGAN,5,9,CatBoost,5.774797018325929
0,CTGAN,5,9,LightGBM,5.98123317002884
0,CTGAN,5,10,RF,6.254270301675016
0,CTGAN,5,10,XGBoost,7.255268858458845
0,CTGAN,5,10,CatBoost,5.907992428695833
0,CTGAN,5,10,LightGBM,5.8967854301855125
0,CTGAN,5,12,RF,6.2037760426871955
0,CTGAN,5,12,XGBoost,7.288560069243515
0,CTGAN,5,12,CatBoost,5.917848205085753
0,CTGAN,5,12,LightGBM,6.044160933497064
0,CTGAN,5,14,RF,6.197114338396904
0,CTGAN,5,14,XGBoost,7.043705071791122
0,CTGAN,5,14,CatBoost,5.950883444776541
0,CTGAN,5,14,LightGBM,6.046478462503422
0,CTGAN,5,17,RF,6.260153010723883
0,CTGAN,5,17,XGBoost,7.0667575781625
0,CTGAN,5,17,CatBoost,5.787004416081122
0,CTGAN,5,17,LightGBM,6.050500566818477
0,CTGAN,5,19,RF,6.290296178395165
0,CTGAN,5,19,XGBoost,7.074062117626173
0,CTGAN,5,19,CatBoost,5.982402487836226
0,CTGAN,5,19,LightGBM,5.968138988335751
0,TVAE,1,1,RF,6.825291747268112
0,TVAE,1,1,XGBoost,6.514846453181578
0,TVAE,1,1,CatBoost,6.57152524371778
0,TVAE,1,1,LightGBM,6.885662896763689
0,TVAE,1,2,RF,6.794092073023446
0,TVAE,1,2,XGBoost,6.845294606604498
0,TVAE,1,2,CatBoost,6.8444642273247185
0,TVAE,1,2,LightGBM,7.17734802033077
0,TVAE,1,3,RF,5.845950079609548
0,TVAE,1,3,XGBoost,6.849560487768357
0,TVAE,1,3,CatBoost,6.386974275794184
0,TVAE,1,3,LightGBM,5.244993387174318
0,TVAE,1,4,RF,5.778121742734147
0,TVAE,1,4,XGBoost,5.970533555050746
0,TVAE,1,4,CatBoost,5.786147026883139
0,TVAE,1,4,LightGBM,5.188933346231409
0,TVAE,1,5,RF,5.613020382011059
0,TVAE,1,5,XGBoost,6.001544595119389
0,TVAE,1,5,CatBoost,5.70343187145103
0,TVAE,1,5,LightGBM,5.204530542026873
0,TVAE,1,6,RF,5.648116726111149
0,TVAE,1,6,XGBoost,6.004243258816142
0,TVAE,1,6,CatBoost,5.671809220435911
0,TVAE,1,6,LightGBM,5.150773381927152
0,TVAE,1,7,RF,5.664557443599279
0,TVAE,1,7,XGBoost,5.779641224683363
0,TVAE,1,7,CatBoost,5.596236116249903
0,TVAE,1,7,LightGBM,5.260777225907297
0,TVAE,1,8,RF,5.582413905081651
0,TVAE,1,8,XGBoost,5.7026057156071195
0,TVAE,1,8,CatBoost,5.506663817590921
0,TVAE,1,8,LightGBM,5.418953576656307
0,TVAE,1,9,RF,5.651670942127672
0,TVAE,1,9,XGBoost,5.738869891307649
0,TVAE,1,9,CatBoost,5.4576359123481675
0,TVAE,1,9,LightGBM,5.3570539824172565
0,TVAE,1,10,RF,5.621311982969795
0,TVAE,1,10,XGBoost,5.787126838086241
0,TVAE,1,10,CatBoost,5.368989738723983
0,TVAE,1,10,LightGBM,5.407210423498869
0,TVAE,1,12,RF,5.733417240711435
0,TVAE,1,12,XGBoost,5.752228879731769
0,TVAE,1,12,CatBoost,5.54913330555897
0,TVAE,1,12,LightGBM,5.258146082335234
0,TVAE,1,14,RF,5.908001363933201
0,TVAE,1,14,XGBoost,5.64750138175029
0,TVAE,1,14,CatBoost,5.740432909728552
0,TVAE,1,14,LightGBM,5.003134361421429
0,TVAE,1,17,RF,6.023115941978273
0,TVAE,1,17,XGBoost,5.8681807393519785
0,TVAE,1,17,CatBoost,5.800512000868329
0,TVAE,1,17,LightGBM,5.003134361421429
0,TVAE,1,19,RF,6.101227916364391
0,TVAE,1,19,XGBoost,5.9586313437763865
0,TVAE,1,19,CatBoost,5.8994797553328935
0,TVAE,1,19,LightGBM,5.003134361421429
0,TVAE,2,1,RF,6.952592120390503
0,TVAE,2,1,XGBoost,6.760128339404496
0,TVAE,2,1,CatBoost,6.703044449650165
0,TVAE,2,1,LightGBM,6.794309407543764
0,TVAE,2,2,RF,6.821920688264803
0,TVAE,2,2,XGBoost,6.860756433452322
0,TVAE,2,2,CatBoost,6.595321556816673
0,TVAE,2,2,LightGBM,7.043116238585243
0,TVAE,2,3,RF,5.9825388222054094
0,TVAE,2,3,XGBoost,6.8798815647985885
0,TVAE,2,3,CatBoost,6.327364037132359
0,TVAE,2,3,LightGBM,5.410876083359267
0,TVAE,2,4,RF,5.829880083525866
0,TVAE,2,4,XGBoost,6.280295970790446
0,TVAE,2,4,CatBoost,5.6764123148317545
0,TVAE,2,4,LightGBM,5.261949766856866
0,TVAE,2,5,RF,5.803270187507518
0,TVAE,2,5,XGBoost,6.327796628776862
0,TVAE,2,5,CatBoost,5.698999911126404
0,TVAE,2,5,LightGBM,5.227135409441802
0,TVAE,2,6,RF,5.8417657470487505
0,TVAE,2,6,XGBoost,6.341035474294557
0,TVAE,2,6,CatBoost,5.667026722801865
0,TVAE,2,6,LightGBM,5.227135409441802
0,TVAE,2,7,RF,5.818460388210752
0,TVAE,2,7,XGBoost,6.051771971744056
0,TVAE,2,7,CatBoost,5.565587636517887
0,TVAE,2,7,LightGBM,5.270425848324014
0,TVAE,2,8,RF,5.700756174397564
0,TVAE,2,8,XGBoost,6.051811969104193
0,TVAE,2,8,CatBoost,5.2138413048058965
0,TVAE,2,8,LightGBM,5.413572095325585
0,TVAE,2,9,RF,5.752293086441086
0,TVAE,2,9,XGBoost,6.090344841265581
0,TVAE,2,9,CatBoost,5.305861740698259
0,TVAE,2,9,LightGBM,5.309491608411266
0,TVAE,2,10,RF,5.712212225609135
0,TVAE,2,10,XGBoost,6.039708303866481
0,TVAE,2,10,CatBoost,5.361065537367787
0,TVAE,2,10,LightGBM,5.409896330883385
0,TVAE,2,12,RF,5.868743454304692
0,TVAE,2,12,XGBoost,6.151111141118147
0,TVAE,2,12,CatBoost,5.525537895550806
0,TVAE,2,12,LightGBM,5.520497283714031
0,TVAE,2,14,RF,6.018337108784004
0,TVAE,2,14,XGBoost,6.060339819396538
0,TVAE,2,14,CatBoost,5.689868530342255
0,TVAE,2,14,LightGBM,5.170437428683843
0,TVAE,2,17,RF,6.018254570393286
0,TVAE,2,17,XGBoost,6.101734523546028
0,TVAE,2,17,CatBoost,5.750557947292722
0,TVAE,2,17,LightGBM,5.170437428683843
0,TVAE,2,19,RF,6.205316766807134
0,TVAE,2,19,XGBoost,6.211445776719878
0,TVAE,2,19,CatBoost,5.7875988964361
0,TVAE,2,19,LightGBM,5.170437428683843
0,TVAE,5,1,RF,7.507540785506896
0,TVAE,5,1,XGBoost,7.138489654322295
0,TVAE,5,1,CatBoost,7.32182844249857
0,TVAE,5,1,LightGBM,7.507457947977167
0,TVAE,5,2,RF,7.009068383726848
0,TVAE,5,2,XGBoost,6.860760868236754
0,TVAE,5,2,CatBoost,7.109368226035575
