Ref,Temp,Rhum,Wdir,Wspd,Pres,Distance,Tx_power,Tx_height,Freq,Slope_Tx_Rx_50m,Roughness_Tx_Rx_50m,Rx_height,Azimut_Tx_Rx,Tilt_Tx_Rx,LOS,First_building_m,First_tree_m,Fresnel_buildings,Fresnel_trees,Buildings_near_Rx,Trees_near_Rx,Environment,E_field,Tx_antenna_height,Rx_antenna_height
cotonou_1132,31.0,63.0,210.0,16.6,1009.0,5783.257512357362,21238.37353,109.0,570.0,-8.602477842490749e-05,1.352221980701822,13.2295823097229,293.13790396198067,0.9487281544720012,0,-1.0,5296.490346988606,0,4,1,3,1,58.6,100.0,10
cotonou_1142,29.5,69.0,210.0,9.4,1009.5,5883.492240735914,21238.37353,109.0,570.0,-7.413106197302033e-05,1.3462295018211272,13.08489179611206,291.2765253154271,0.933976607409194,0,-1.0,5400.079050615327,0,10,1,3,1,53.7,100.0,10
cotonou_1141,29.5,69.0,210.0,9.4,1009.5,5718.361684502933,21238.37353,109.0,570.0,-0.0001175130175391,1.3674877082653962,13.075225591659546,290.73855169670514,0.9610391207591662,0,-1.0,4973.48491197249,0,4,0,4,1,51.6,100.0,10
cotonou_1282,29.0,75.0,200.0,13.0,1010.0,4768.991639645763,21238.37353,109.0,570.0,-0.0003598626109137,1.104626373000552,11.977882146835327,282.04710613210995,1.1654856087733434,0,-1.0,4205.122888665602,0,1,0,0,1,61.2,100.0,10
cotonou_1293,31.0,63.0,180.0,9.4,1011.0,3793.421461632829,21238.37353,109.0,570.0,-0.0005664421298399,1.3372928717287489,11.555829644203186,292.8092609689786,1.4714716564443049,1,-1.0,-1.0,0,0,1,3,1,62.4,100.0,10
cotonou_242,31.0,63.0,180.0,9.4,1011.0,3451.806751709682,21238.37353,109.0,570.0,-0.0005597905316581,1.1917324251628096,11.88625419139862,292.2320801335948,1.6115445567228714,1,-1.0,-1.0,0,0,3,6,1,60.5,100.0,10
cotonou_243,31.7,62.0,220.0,11.2,1010.7,3054.861632987612,21238.37353,109.0,570.0,-0.0003696707578805,1.028219381068655,12.564717531204224,291.8731091134885,1.808101662573801,1,-1.0,-1.0,0,0,2,3,1,65.7,100.0,10
cotonou_251,31.7,62.0,220.0,11.2,1010.7,2816.3976968280367,21238.37353,109.0,570.0,-0.0005410109770806,1.0534013191596403,12.247373342514038,298.2505299067651,1.9675268106922383,1,-1.0,-1.0,0,0,1,2,1,64.6,100.0,10
cotonou_252,31.7,62.0,220.0,11.2,1010.7,2493.7217449570303,21238.37353,109.0,570.0,-0.0003880375389672,0.8974657877262991,13.126152515411375,297.74257779418195,2.2017142645997523,1,-1.0,-1.0,0,0,1,2,1,54.4,100.0,10
cotonou_253,32.0,63.0,220.0,13.0,1010.0,2786.6551586680825,21238.37353,109.0,570.0,-0.0002466144299755,0.8754232795945386,13.129727840423584,289.79237789668343,1.9703896109919603,1,-1.0,-1.0,0,0,2,14,1,65.8,100.0,10
