Ref,Temp,Rhum,Wdir,Wspd,Pres,Distance,Tx_power,Tx_height,Freq,Slope_Tx_Rx_50m,Roughness_Tx_Rx_50m,Rx_height,Azimut_Tx_Rx,Tilt_Tx_Rx,LOS,First_building_m,First_tree_m,Fresnel_buildings,Fresnel_trees,Buildings_near_Rx,Trees_near_Rx,Environment,E_field,Tx_antenna_height,Rx_antenna_height
cotonou_1321,30.0,70.0,210.0,16.6,1007.0,4595.366788425727,21238.37353,109.0,570.0,-0.0003257442966084,1.242478635173943,12.08018445968628,303.5227848388515,1.2082328745280675,1,-1.0,-1.0,0,0,2,12,1,82.2,100.0,10
cotonou_1313,29.6,70.0,230.0,11.2,1008.2,4428.156558692856,21238.37353,109.0,570.0,-0.0004128953350914,1.2607184511423124,11.79409956932068,302.85739524143435,1.2575421428930342,1,-1.0,-1.0,0,0,0,0,1,80.0,100.0,10
cotonou_1322,32.0,67.0,220.0,16.6,1011.0,4382.38609334695,21238.37353,109.0,570.0,-0.0004269656449318,1.2874009906189754,11.701730608940125,300.987455757398,1.2718789130343997,1,-1.0,-1.0,0,0,3,2,1,79.6,100.0,10
cotonou_1303,31.5,72.0,230.0,14.8,1010.2,4303.298968034905,21238.37353,109.0,570.0,-0.0004879298275464,1.3696750379323543,11.536815404891968,297.28197289727126,1.2974405574556882,1,-1.0,-1.0,0,0,1,11,1,64.7,100.0,10
cotonou_1302,31.5,72.0,230.0,14.8,1010.2,4569.624350402508,21238.37353,109.0,570.0,-0.0004627824035331,1.4540078147262236,11.552399516105652,295.10022487825086,1.2216518638584335,1,-1.0,-1.0,0,0,1,10,1,79.0,100.0,10
cotonou_1301,31.5,72.0,230.0,14.8,1010.2,4653.276449527197,21238.37353,109.0,570.0,-0.0003496861235789,1.330530353482454,12.028148174285889,299.07350129018124,1.1938413300844868,1,-1.0,-1.0,0,0,1,4,1,72.7,100.0,10
cotonou_1223,31.5,72.0,230.0,14.8,1010.2,4776.571043538379,21238.37353,109.0,570.0,-0.0003372761526956,1.3955080179247574,11.975784420967102,296.6536286139741,1.1636618917155623,1,-1.0,-1.0,0,0,3,0,1,78.0,100.0,10
cotonou_1233,32.0,71.0,220.0,18.4,1009.0,4805.349053136664,21238.37353,109.0,570.0,-0.000359894488574,1.4764503514943617,11.82501745223999,292.84263586946065,1.1584918277107032,1,-1.0,-1.0,0,0,0,0,1,78.0,100.0,10
cotonou_1222,32.0,71.0,220.0,18.4,1009.0,5089.074189656917,21238.37353,109.0,570.0,-0.0001281737357146,1.4326010866246464,12.94988250732422,293.8767369941594,1.0812601331547438,1,-1.0,-1.0,0,0,2,2,1,73.3,100.0,10
cotonou_1133,32.0,71.0,220.0,18.4,1009.0,5489.36083780489,21238.37353,109.0,570.0,-1.1229643950591223e-05,1.3800564572091043,13.670392274856567,294.08369508729345,0.9949127701568784,0,-1.0,5225.343482880407,0,3,3,13,1,65.2,100.0,10
cotonou_1122,32.0,71.0,220.0,18.4,1009.0,5656.758700515132,21238.37353,109.0,570.0,-2.256958480488775e-05,1.3067011640026998,13.614120244979858,296.4766195041817,0.966046233610802,0,5441.371094683894,5259.992058194431,2,4,0,1,1,72.1,100.0,10
cotonou_1112,31.5,72.0,200.0,11.2,1008.3,5757.605690600308,21238.37353,109.0,570.0,-0.0002809881757752,1.2143046302503602,12.13686180114746,300.0147507819024,0.963825208622892,0,-1.0,5215.3061566159095,0,14,0,11,1,70.6,100.0,10
cotonou_1123,31.5,72.0,200.0,11.2,1008.3,5482.545971950103,21238.37353,109.0,570.0,-0.0001610782124974,1.241450915378826,13.021891832351685,299.2924448953943,1.0029243515246171,0,5163.921055744586,5141.946923592482,2,2,0,6,1,77.1,100.0,10
cotonou_1221,31.5,72.0,200.0,11.2,1008.3,5343.771428060805,21238.37353,109.0,570.0,2.935003351282193e-05,1.3500414400304217,13.777858972549438,296.19124802154533,1.020861300629914,1,-1.0,-1.0,0,0,1,8,1,63.4,100.0,10
cotonou_1212,31.0,75.0,200.0,18.4,1008.0,5061.8145152333855,21238.37353,109.0,570.0,-0.000185542450546,1.3083753601824355,12.661763191223145,298.44992912660297,1.090341818398749,1,-1.0,-1.0,0,0,0,5,1,76.5,100.0,10
cotonou_1213,31.0,75.0,200.0,18.4,1008.0,4839.91204725377,21238.37353,109.0,570.0,-0.0002252553220804,1.2473036721407322,12.483323097229004,302.1265945811173,1.1424309595223618,1,-1.0,-1.0,0,0,0,6,1,79.9,100.0,10
cotonou_1211,31.0,75.0,200.0,18.4,1008.0,5343.886067470345,21238.37353,109.0,570.0,-0.0001721443317512,1.212190088702268,12.775887489318848,301.3426731344732,1.0315788413297171,0,-1.0,4819.135732187685,0,4,3,13,1,76.1,100.0,10
cotonou_1113,30.2,77.0,220.0,13.0,1008.6,5676.199263658412,21238.37353,167.0,570.0,-0.0023874962870753,3.26506999655577,11.38288426399231,167.0731409420896,1.5704119381556918,1,-1.0,-1.0,0,0,0,6,1,73.9,150.0,10
cotonou_1111,29.5,80.0,200.0,7.6,1009.5,5483.036059562817,21238.37353,109.0,570.0,-0.0003690586004171,1.1904184196322705,11.64995050430298,302.91180842094514,1.017166571067283,0,-1.0,5087.466323802774,0,10,3,11,1,78.1,100.0,10
cotonou_1202,30.7,55.0,293.0,13.0,1011.4,5068.86005069446,21238.37353,109.0,570.0,-0.0001673716085928,1.1949032903500438,12.877948999404907,303.3976907405471,1.0863838746394157,1,-1.0,-1.0,0,0,0,2,1,64.2,100.0,10
