Ref,Rx_lat,Rx_lon,Rx_power,E_field,FSM_spread,Temp,Rhum,Prcp,Wdir,Wpgt,Wspd,Pres,Session_date,Session_time,City,Tx_id,Tx_lat,Tx_lon,Distance,Tx_power,Tx_alt,Tx_antenna_height,Tx_height,Freq,Tx_id_2nd,Freq_2nd,tx_ratio,Rx_alt,Slope_Tx_Rx,Roughness_Tx_Rx,Slope_Tx_Rx_50m,Roughness_Tx_Rx_50m,Slope_Local_Rx_50m,Roughness_Local_Rx_50m,Rx_antenna_height,Rx_height,Azimut_Tx_Rx,Tilt_Tx_Rx,LOS,First_building_m,First_tree_m,Fresnel_buildings,Fresnel_trees,Buildings_near_Rx,Trees_near_Rx,Environment
cotonou_1293,6.36549,2.37132,58.1,62.4,0.8000000000000043,31.0,63.0,0.0,180.0,,9.4,1011.0,2024-01-09,10:53:12,cotonou,COTO,6.352268,2.402957,3793.421461632829,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.014367240908983,1.555829644203186,-0.0005781999052582,1.319444705504854,-0.0005664421298399,1.3372928717287489,-0.000963752468427,0.0453493831406797,10,11.555829644203186,292.8092609689786,1.4714716564443049,1,-1.0,-1.0,0,0,1,3,urban
cotonou_242,6.36401,2.37405,56.7,60.5,3.1999999999999957,31.0,63.0,0.0,180.0,,9.4,1011.0,2024-01-09,11:11:33,cotonou,COTO,6.352268,2.402957,3451.806751709682,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.2897415023344343,1.8862541913986208,-0.0005232003570973,1.179937727559175,-0.0005597905316581,1.1917324251628096,-0.0014353610356542,0.0410021155412767,10,11.88625419139862,292.23208013359476,1.6115445567228714,1,-1.0,-1.0,0,0,3,6,urban
cotonou_243,6.3625,2.37731,60.1,65.7,1.7999999999999972,31.7,62.0,0.0,220.0,,11.2,1010.7,2024-01-09,11:32:49,cotonou,COTO,6.352268,2.402957,3054.861632987612,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.6838950582937815,2.5647175312042236,-0.0003828735131504,1.0121235194564278,-0.0003696707578805,1.028219381068655,-0.0013768328560723,0.0522515992530412,10,12.564717531204224,291.8731091134885,1.8081016625738011,1,-1.0,-1.0,0,0,2,3,urban
cotonou_251,6.36426,2.3805,60.5,64.6,0.1000000000000085,31.7,62.0,0.0,220.0,,11.2,1010.7,2024-01-09,11:51:02,cotonou,COTO,6.352268,2.402957,2816.3976968280367,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.9026175978780264,2.247373342514038,-0.0005175950679373,1.027477635028284,-0.0005410109770806,1.0534013191596403,-0.0010943724712115,0.033678989717659,10,12.247373342514038,298.2505299067651,1.9675268106922383,1,-1.0,-1.0,0,0,1,2,urban
cotonou_252,6.36271,2.38298,50.1,54.4,0.6999999999999957,31.7,62.0,0.0,220.0,,11.2,1010.7,2024-01-09,12:15:01,cotonou,COTO,6.352268,2.402957,2493.7217449570303,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,3.3899123369426643,3.126152515411377,-0.0002304916343991,0.8831430083570541,-0.0003880375389672,0.8974657877262991,-0.0045406311742281,0.1560709333285634,10,13.126152515411375,297.74257779418195,2.2017142645997523,1,-1.0,-1.0,0,0,1,2,urban
cotonou_253,6.36075,2.37924,64.0,65.8,2.3000000000000114,32.0,63.0,0.0,220.0,,13.0,1010.0,2024-01-09,12:34:57,cotonou,COTO,6.352268,2.402957,2786.6551586680825,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,3.037147937144991,3.129727840423584,-0.0002066424587689,0.8607154729293368,-0.0002466144299755,0.8754232795945386,-0.0013469041368624,0.0522438461991495,10,13.129727840423584,289.79237789668343,1.9703896109919603,1,-1.0,-1.0,0,0,2,14,urban
cotonou_241,6.3609,2.37656,52.5,60.5,3.3999999999999986,32.0,63.0,0.0,220.0,,13.0,1010.0,2024-01-09,13:06:37,cotonou,COTO,6.352268,2.402957,3072.603357234772,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.710402892843202,2.9629974365234375,-0.0002454076825043,0.8790776952873621,-0.000238427131895,0.8907516446384639,-0.0002403418223063,0.0109460242801827,10,12.962997436523438,288.21420191715094,1.790248682839918,1,-1.0,-1.0,0,0,2,14,urban
cotonou_233,6.36051,2.37291,62.0,62.1,5.800000000000004,32.0,63.0,0.0,220.0,,13.0,1010.0,2024-01-09,13:18:49,cotonou,COTO,6.352268,2.402957,3447.0774924186853,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.3842916727982972,3.01735258102417,-0.0002012537580543,0.880304703155597,-0.0001932853986734,0.8860180616386336,-0.000203890270657,0.0156288532534498,10,13.01735258102417,285.43118446254897,1.5949684924839544,1,-1.0,-1.0,0,0,3,11,urban
cotonou_211,6.35703,2.37064,56.0,61.3,0.8000000000000043,30.9,71.0,0.0,220.0,,18.4,1009.3,2024-01-09,14:35:12,cotonou,COTO,6.352268,2.402957,3614.127966709307,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.3520159935534175,4.272826194763184,0.000155877344536,0.5032416871815262,0.000115660729447,0.5018101469804411,-0.0015864729881286,0.0760785102578246,10,14.272826194763184,278.43523799972445,1.5013925843570182,1,-1.0,-1.0,0,0,2,11,urban
cotonou_221,6.35503,2.36901,50.5,55.9,1.5,32.0,67.0,0.0,220.0,,14.8,1009.0,2024-01-09,13:56:01,cotonou,COTO,6.352268,2.402957,3768.304881867824,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.2978745060236982,4.375529766082764,0.0001444009734438,0.4013484354556001,4.533699725887567e-05,0.4003779077323458,-0.0064657361269564,0.170350554570189,10,14.375529766082764,274.681958266804,1.4384302411363628,1,-1.0,-1.0,0,0,4,12,urban
cotonou_212,6.35193,2.36952,56.3,60.3,0.0999999999999943,32.0,67.0,0.0,220.0,,14.8,1009.0,2024-01-09,14:19:01,cotonou,COTO,6.352268,2.402957,3699.678815526941,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.4337522304063306,4.5568695068359375,0.0002284618475103,0.3485623919779562,0.0002048036181942,0.3472912601788964,-0.0009515725737806,0.0330551348443581,10,14.556869506835938,269.41911417757916,1.4622939216353958,1,-1.0,-1.0,0,0,5,8,urban
cotonou_231,6.3501,2.36633,74.8,78.7,0.5,30.0,75.0,0.0,220.0,,18.4,1009.0,2024-01-09,17:18:32,cotonou,COTO,6.352268,2.402957,4059.526781567783,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.244103300378019,3.756352424621582,-1.7546874815746713e-05,0.4236100313555712,7.238324431273506e-07,0.4231689818570265,-0.0013618234785121,0.0453026958179707,10,13.756352424621582,266.5936966904023,1.3440133218870596,0,-1.0,3766.65510995167,0,4,3,5,urban
cotonou_222,6.35323,2.37107,57.6,61.6,4.100000000000001,29.6,72.0,0.0,220.0,,14.8,1010.1,2024-01-09,17:35:55,cotonou,COTO,6.352268,2.402957,3529.5962673231675,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.5259209272024448,4.811158657073975,0.0003292248368239,0.3558558374646092,0.0003066300683551,0.3564563077749137,0.0020575642585754,0.0966883031796406,10,14.811158657073976,271.74046830090845,1.5286005035650918,1,-1.0,-1.0,0,0,0,2,urban
cotonou_223,6.35539,2.37351,54.8,61.8,2.299999999999997,29.6,72.0,0.0,220.0,,14.8,1010.1,2024-01-09,17:55:16,cotonou,COTO,6.352268,2.402957,3276.2655070848086,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.6780110694068955,4.677647590637207,0.0002941382292545,0.4325543041851074,0.0003081427877006,0.4309051656542626,0.000952596863083,0.0274237812707959,10,14.677647590637209,276.09070057841586,1.6490667021582446,1,-1.0,-1.0,0,0,0,16,urban
cotonou_272,6.35513,2.37513,52.7,56.3,3.700000000000003,29.6,72.0,0.0,220.0,,14.8,1010.1,2024-01-09,18:13:28,cotonou,COTO,6.352268,2.402957,3095.0123104365794,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.8633503434996888,4.489458084106445,0.0002507905929516,0.439220494052272,0.0002683040830824,0.4371074673230208,0.0013158427344428,0.0493812259172877,10,14.489458084106444,275.90978478196973,1.7490634738928703,1,-1.0,-1.0,0,0,2,3,urban
cotonou_262,6.3569,2.37642,55.0,59.2,0.2999999999999971,31.5,70.0,0.0,236.0,,9.3,1011.4,2024-01-11,11:28:11,cotonou,COTO,6.352268,2.402957,2980.405356913454,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.92947285818778,4.04482364654541,0.0001126107374827,0.5765695604740984,8.508629691658819e-05,0.5774535982176787,0.0001487035761207,0.0374144571655049,10,14.04482364654541,279.9626119941853,1.824815928308346,1,-1.0,-1.0,0,0,0,7,urban
cotonou_232,6.35748,2.37432,45.7,53.0,0.6999999999999957,32.4,63.0,0.0,230.0,,7.6,1010.7,2024-01-11,11:46:44,cotonou,COTO,6.352268,2.402957,3220.3982768220553,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.666532384594254,3.5577738285064697,-3.237371950106969e-05,0.612721036183609,-7.083198764909776e-05,0.6173545279088233,-0.0027506383457112,0.0909482768532201,10,13.55777382850647,280.3790349119499,1.6975653549574596,1,-1.0,-1.0,0,0,4,10,urban
cotonou_261,6.35944,2.37644,60.6,63.8,1.1000000000000014,32.4,63.0,0.0,230.0,,7.6,1010.7,2024-01-11,12:04:08,cotonou,COTO,6.352268,2.402957,3039.1540272558145,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.7875241558176604,3.0429794788360596,-0.0002169973710004,0.8058274580563645,-0.0002251684066385,0.8134380582265084,-0.0009323477037503,0.0312336393647845,10,13.04297947883606,285.22530074108863,1.8084329997980555,1,-1.0,-1.0,0,0,0,1,urban
cotonou_263,6.35775,2.37912,65.4,69.6,1.0,32.4,63.0,0.0,230.0,,7.6,1010.7,2024-01-11,12:18:01,cotonou,COTO,6.352268,2.402957,2706.107026789334,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,3.2372276538309466,3.47127914428711,-0.0001620098126148,0.6670646962407508,-8.360607296591774e-05,0.6737487589855834,0.0001030306548752,0.0269433659431798,10,13.47127914428711,283.0302729011428,2.0217680141459216,1,-1.0,-1.0,0,0,2,14,urban
cotonou_273,6.35562,2.37825,56.0,62.4,1.0,33.0,63.0,0.0,210.0,,13.0,1009.0,2024-01-11,12:33:10,cotonou,COTO,6.352268,2.402957,2758.607162862188,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,3.240287519093103,3.9122745990753174,7.16948396927611e-05,0.5090024440619076,7.363092814776918e-05,0.513392001969891,-0.0009459151162041,0.037215892056088,10,13.912274599075316,277.7746869694792,1.97417350301024,1,-1.0,-1.0,0,0,1,5,urban
cotonou_271,6.35278,2.37459,71.3,78.1,2.0,33.0,63.0,0.0,210.0,,13.0,1009.0,2024-01-11,12:47:58,cotonou,COTO,6.352268,2.402957,3139.0502296879654,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.894455702503883,4.128990173339844,0.0001212051252941,0.3534480454764871,0.0001158508556282,0.3531082050107554,-0.0013052622477213,0.061801064799356,10,14.128990173339844,271.04198349215983,1.7311141720496483,1,-1.0,-1.0,0,0,2,0,urban
cotonou_281,6.35199,2.37366,68.0,74.7,1.1000000000000083,33.0,63.0,0.0,210.0,,13.0,1009.0,2024-01-11,12:59:23,cotonou,COTO,6.352268,2.402957,3241.583475755923,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.8179437029466854,3.900843620300293,5.928201412935864e-05,0.3492740413181696,3.935189436333331e-05,0.351474302438753,-0.0015643343231735,0.051290125246059,10,13.900843620300291,269.45459773367855,1.680418824518464,1,-1.0,-1.0,0,0,0,4,urban
cotonou_282,6.3486,2.37184,64.2,69.9,1.9000000000000057,33.0,63.0,0.0,210.0,,13.0,1009.0,2024-01-11,13:16:14,cotonou,COTO,6.352268,2.402957,3466.628739210918,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.7202039884884504,0.3160127699375152,-0.0009744191563677,1.4237212948251192,-0.0009579035774462,1.461353106689793,0.0,0.0,10,10.316012769937515,263.23772801343637,1.6305897841075554,1,-1.0,-1.0,0,0,0,0,urban
cotonou_283,6.34811,2.37568,62.0,64.3,3.6000000000000085,33.0,63.0,0.0,210.0,,13.0,1009.0,2024-01-11,13:29:11,cotonou,COTO,6.352268,2.402957,3052.7840752046363,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,3.14894452251622,0.7109953761100769,-0.0009790836790807,1.3471721620805803,-0.0009602551467907,1.383048127405147,0.0,0.0,10,10.710995376110075,261.2815976560275,1.84408732899194,1,-1.0,-1.0,0,0,0,0,urban
cotonou_2121,6.34874,2.37789,61.9,66.5,1.1000000000000083,33.0,63.0,0.0,200.0,,11.2,1008.0,2024-01-11,13:41:56,cotonou,COTO,6.352268,2.402957,2800.744709422837,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,3.4387344568669858,0.3068102598190307,-0.0012057380050632,1.2273490037614605,-0.0011930460260625,1.2660693306602957,0.0,0.0,10,10.30681025981903,261.94122427409076,2.0181648198803175,1,-1.0,-1.0,0,0,0,0,urban
cotonou_2122,6.34965,2.38056,71.9,75.4,1.9000000000000057,32.0,71.0,0.0,200.0,,18.4,1008.0,2024-01-11,15:38:39,cotonou,COTO,6.352268,2.402957,2494.8787391923147,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,3.866482433342085,2.82511305809021,-0.0003499517365107,0.4892956378597583,-0.000302155960794,0.5018356998519538,0.0010610935815039,0.0373701732043471,10,12.82511305809021,263.2933580953988,2.207597481007879,1,-1.0,-1.0,0,0,0,1,urban
cotonou_2123,6.34834,2.38066,52.4,55.9,2.1000000000000014,32.0,71.0,0.0,200.0,,18.4,1008.0,2024-01-11,15:50:30,cotonou,COTO,6.352268,2.402957,2504.9144178836254,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,3.906135839121021,2.2255921363830566,-0.0005743390202654,0.6707375635306501,-0.0013387231517207,0.8926405038980452,-0.0165626081327597,0.891638040317706,10,12.225592136383057,259.94968469774835,2.2124544097071084,1,-1.0,-1.0,0,0,0,0,urban
cotonou_2162,6.34799,2.38144,53.2,59.0,0.2000000000000028,32.0,71.0,0.0,200.0,,18.4,1008.0,2024-01-11,16:05:39,cotonou,COTO,6.352268,2.402957,2427.2154961201018,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,4.059510835400101,0.995618462562561,-0.0011157913463105,0.8792760297755913,-0.0010889048078452,0.9630306460013642,0.0,0.0,10,10.99561846256256,258.68867310423315,2.3121922513830704,1,-1.0,-1.0,0,0,0,0,urban
cotonou_2161,6.34961,2.38242,64.3,65.8,2.5,32.0,71.0,0.0,200.0,,18.4,1008.0,2024-01-11,16:17:58,cotonou,COTO,6.352268,2.402957,2291.164993130129,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,4.247305610406027,3.088080644607544,-0.0003422137436813,0.4144926722072436,-0.0002955737496227,0.4454584912690868,-0.0020900050799051,0.0982932565472092,10,13.088080644607544,262.5815961662611,2.397095609167065,1,-1.0,-1.0,0,0,5,2,urban
cotonou_2163,6.34798,2.38404,58.8,63.1,1.7000000000000028,32.0,71.0,0.0,200.0,,18.4,1008.0,2024-01-11,16:29:59,cotonou,COTO,6.352268,2.402957,2146.0428818216433,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,4.645180775391653,1.1870925426483154,-0.0011857078429376,0.6350295559689674,-0.0011430318828101,0.7575886556896223,-0.0150866975386937,0.7166835391230725,10,11.187092542648315,257.15314678244886,2.609636055986111,1,-1.0,-1.0,0,0,2,6,urban
cotonou_2201,6.34758,2.38552,68.1,72.8,1.0,31.0,75.0,0.0,200.0,,18.4,1008.0,2024-01-11,16:41:44,cotonou,COTO,6.352268,2.402957,1997.6924262518385,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,5.044362206325388,2.8839471340179443,-0.0004094747761588,0.4638241152789168,-0.0010027700000339,0.6216706980331164,-0.0102179567019144,0.6072483712277453,10,12.883947134017944,254.86398675041883,2.7545785080791836,1,-1.0,-1.0,0,0,0,1,urban
